Package,Time,Temp,Axis X,Axis Y,Axis Z,Latitude,Longitude,,,,,,,
Package[4285],3:3:57:21,2.19,2.75,9.69,-1.61,12.975229,101.43307,,,,,,,
Package[4287],3:3:57:22,2.25,2.55,9.57,-1.73,12.975229,101.43307,,,,,,,
Package[4289],3:3:57:23,2.19,2.51,9.22,-1.84,12.975229,101.43307,,,,,,,
Package[4291],3:3:57:25,2.06,2.75,9.85,-1.84,12.975116,101.43234,,,,,,,
Package[4293],3:3:57:26,2,2.43,9.3,-1.84,12.975116,101.43234,,,,,,,
Package[4295],3:3:57:28,2,2.67,9.61,-1.29,12.975105,101.43227,,,,,,,
Package[4297],3:3:57:29,1.88,2.59,9.77,-1.65,12.975105,101.43227,,,,,,,
Package[4299],3:3:57:30,1.69,2.82,9.57,-1.41,12.975105,101.43227,,,,,,,
Package[4301],3:3:57:32,1.56,2.79,9.34,-1.73,12.975105,101.43227,,,,,,,
0.43227,,,,,,,,,,,,,,
Package[4305],3:3:57:34,1.38,2.59,9.89,-1.57,12.975105,101.43227,,,,,,,
Package[4307],3:3:57:36,1.25,2.39,9.65,-2.12,12.975105,101.43227,,,,,,,
Package[4309],3:3:57:37,1.13,2.75,9.69,-1.61,12.975105,101.43227,,,,,,,
Package[4311],3:3:57:38,1,2.47,9.81,-1.37,12.975105,101.43227,,,,,,,
Package[4313],3:3:57:40,0.88,2.79,9.49,-1.18,12.975105,101.43227,,,,,,,
Package[4315],3:3:57:41,0.81,2.59,9.73,-1.45,12.975105,101.43227,,,,,,,
Package[4317],3:3:57:42,0.69,2.47,9.73,-1.49,12.975105,101.43227,,,,,,,
Package[4319],3:3:57:44,0.63,2.59,9.3,-1.53,12.975056,101.43176,,,,,,,
Package[4321],3:3:57:45,0.56,2.43,9.41,-1.88,12.975062,101.43169,,,,,,,
Package[4323],3:3:57:47,0.44,2.86,9.61,-1.96,12.975062,101.43169,,,,,,,
Package[4325],3:3:57:48,0.31,2.47,9.73,-1.14,12.975069,101.43162,,,,,,,
Package[4327],3:3:57:49,0.25,2.51,9.69,-1.61,12.975069,101.43162,,,,,,,
Package[4329],3:3:57:51,0.25,2.59,9.85,-1.69,12.975069,101.43162,,,,,,,
Package[4331],3:3:57:52,0.19,2.28,9.34,-1.69,12.975069,101.43162,,,,,,,
Package[4333],3:3:57:53,0.13,2.82,9.38,-1.33,12.975069,101.43162,,,,,,,
Package[4335],3:3:57:55,0.13,2.35,9.34,-1.8,12.975069,101.43162,,,,,,,
Package[4337],3:3:57:56,0.06,2.55,9.41,-1.88,12.975069,101.43162,,,,,,,
Package[4339],3:3:57:57,0.06,2.55,9.77,-1.61,12.975069,101.43162,,,,,,,
Package[4341],3:3:57:59,0,2.63,9.41,-1.88,12.975173,101.43117,,,,,,,
Package[4343],3:3:58:0,0,2.79,9.77,-1.45,12.975173,101.43117,,,,,,,
Package[4345],3:3:58:1,-0.06,2.67,9.69,-1.45,12.975173,101.43117,,,,,,,
Package[4347],3:3:58:3,-0.06,2.39,9.77,-1.88,12.975206,101.43102,,,,,,,
Package[4349],3:3:58:4,-0.06,2.55,9.61,-1.57,12.975206,101.43102,,,,,,,
Package[4351],3:3:58:5,-0.06,2.71,9.41,-1.73,12.975206,101.43102,,,,,,,
Package[4353],3:3:58:7,-0.06,2.55,9.41,-1.88,12.975245,101.43082,,,,,,,
Package[4355],3:3:58:8,-0.13,2.51,9.69,-1.41,12.975266,101.43073,,,,,,,
Package[4357],3:3:58:10,-0.06,2.47,9.45,-1.8,12.975266,101.43073,,,,,,,
Package[4359],3:3:58:11,-0.06,2.59,9.45,-1.77,12.975266,101.43073,,,,,,,
Package[4361],3:3:58:12,-0.06,2.55,9.69,-1.8,12.975266,101.43073,,,,,,,
Package[4363],3:3:58:14,-0.13,2.51,9.3,-1.84,12.975266,101.43073,,,,,,,
Package[4365],3:3:58:15,-0.19,2.63,9.45,-1.92,12.975266,101.43073,,,,,,,
Package[4367],3:3:58:16,-0.25,2.59,9.61,-1.49,12.975266,101.43073,,,,,,,
Package[4369],3:3:58:18,-0.31,2.59,9.49,-1.57,12.975362,101.43027,,,,,,,
Package[4371],3:3:58:19,-0.44,2.47,9.81,-1.92,12.97539,101.43019,,,,,,,
Package[4373],3:3:58:20,-0.5,2.43,9.45,-1.84,12.97539,101.43019,,,,,,,
Package[4375],3:3:58:22,-0.56,2.55,9.53,-1.84,12.975416,101.43011,,,,,,,
Package[4377],3:3:58:23,-0.63,2.51,9.69,-1.96,12.975449,101.43003,,,,,,,
Package[4379],3:3:58:25,-0.75,2.51,9.69,-1.88,12.975449,101.43003,,,,,,,
Package[4381],3:3:58:26,-0.81,2.51,9.57,-1.84,12.975449,101.43003,,,,,,,
Package[4383],3:3:58:27,-0.81,2.59,9.26,-1.84,12.975449,101.43003,,,,,,,
Package[4385],3:3:58:29,-0.94,2.51,9.57,-1.69,12.975449,101.43003,,,,,,,
Package[4387],3:3:58:30,-1,2.63,9.49,-1.69,12.975449,101.43003,,,,,,,
Package[4389],3:3:58:31,-1,2.31,9.77,-1.61,12.975449,101.43003,,,,,,,
Package[4391],3:3:58:33,-1.13,2.67,9.41,-1.65,12.975449,101.43003,,,,,,,
Package[4393],3:3:58:34,-1.13,2.51,9.65,-1.69,12.975714,101.42955,,,,,,,
Package[4395],3:3:58:35,-1.19,2.55,9.69,-1.65,12.975714,101.42955,,,,,,,
Package[4397],3:3:58:37,-1.25,2.59,9.89,-1.45,12.975771,101.42946,,,,,,,
Package[4399],3:3:58:38,-1.19,2.39,9.73,-2,12.975771,101.42946,,,,,,,
Package[4401],3:3:58:40,-1.25,2.71,9.61,-1.84,12.975771,101.42946,,,,,,,
Package[4403],3:3:58:41,-1.19,2.55,9.53,-1.69,12.975771,101.42946,,,,,,,
Package[4405],3:3:58:42,-1.19,2.55,9.73,-1.88,12.975771,101.42946,,,,,,,
Package[4407],3:3:58:44,-1.25,2.39,9.81,-1.77,12.975771,101.42946,,,,,,,
Package[4409],3:3:58:45,-1.19,2.94,9.49,-1.49,12.975771,101.42946,,,,,,,
Package[4411],3:3:58:46,-1.19,2.39,9.61,-1.77,12.975771,101.42946,,,,,,,
Package[4413],3:3:58:48,-1.19,2.86,9.38,-1.8,12.976015,101.42885,,,,,,,
Package[4415],3:3:58:49,-1.19,2.31,9.69,-1.73,12.976049,101.42873,,,,,,,
Package[4417],3:3:58:51,-1.06,2.9,9.53,-1.88,12.976049,101.42873,,,,,,,
Package[4419],3:3:58:52,-1.06,2.47,9.38,-1.96,12.976079,101.4286,,,,,,,
Package[4421],3:3:58:53,-1.06,2.59,9.49,-1.96,12.976079,101.4286,,,,,,,
Package[4423],3:3:58:55,-1,2.63,9.85,-1.69,12.976079,101.4286,,,,,,,
Package[4425],3:3:58:56,-1.06,2.51,9.53,-1.77,12.976079,101.4286,,,,,,,
Package[4427],3:3:58:57,-1.06,2.79,9.41,-2.04,12.976079,101.4286,,,,,,,
Package[4429],3:3:58:59,-1.13,2.51,9.73,-1.49,12.976168,101.42815,,,,,,,
Package[4431],3:3:59:0,-1.19,2.59,9.41,-1.53,12.97619,101.42803,,,,,,,
Package[4433],3:3:59:1,-1.19,2.55,9.41,-1.84,12.97619,101.42803,,,,,,,
Package[4435],3:3:59:3,-1.31,2.51,9.69,-1.96,12.976218,101.42792,,,,,,,
Package[4437],3:3:59:4,-1.44,2.47,9.3,-1.73,12.976243,101.4278,,,,,,,
Package[4439],3:3:59:6,-1.44,2.47,9.81,-1.96,12.976243,101.4278,,,,,,,
Package[4441],3:3:59:7,-1.56,2.47,9.3,-1.61,12.976243,101.4278,,,,,,,
Package[4443],3:3:59:8,-1.63,2.59,9.49,-1.53,12.976243,101.4278,,,,,,,
Package[4445],3:3:59:10,-1.75,2.63,9.73,-1.41,12.976243,101.4278,,,,,,,
Package[4447],3:3:59:11,-1.88,2.43,9.34,-1.69,12.976243,101.4278,,,,,,,
Package[4449],3:3:59:12,-1.94,2.51,9.38,-2.08,12.976243,101.4278,,,,,,,
Package[4451],3:3:59:14,-2,2.43,9.53,-1.61,12.976243,101.4278,,,,,,,
Package[4453],3:3:59:15,-2.06,2.59,9.85,-1.65,12.976394,101.42719,,,,,,,
Package[4455],3:3:59:17,-2.13,2.47,9.18,-1.84,12.976418,101.42709,,,,,,,
Package[4457],3:3:59:18,-2.25,2.67,9.53,-1.96,12.976418,101.42709,,,,,,,
Package[4459],3:3:59:19,-2.31,2.63,9.53,-1.84,12.976418,101.42709,,,,,,,
Package[4461],3:3:59:21,-2.38,2.51,9.77,-1.61,12.976418,101.42709,,,,,,,
Package[4463],3:3:59:22,-2.44,2.79,9.45,-1.73,12.976418,101.42709,,,,,,,
Package[4465],3:3:59:23,-2.44,2.55,9.96,-1.69,12.976418,101.42709,,,,,,,
Package[4467],3:3:59:25,-2.5,2.82,9.57,-1.41,12.976418,101.42709,,,,,,,
Package[4469],3:3:59:26,-2.5,2.55,9.69,-1.69,12.976418,101.42709,,,,,,,
Package[4471],3:3:59:27,-2.5,2.55,9.57,-1.53,12.976418,101.42709,,,,,,,
Package[4473],3:3:59:29,-2.5,2.47,9.81,-1.65,12.976418,101.42709,,,,,,,
Package[4475],3:3:59:30,-2.56,2.67,9.69,-1.29,12.976644,101.42628,,,,,,,
Package[4477],3:3:59:32,-2.5,2.43,9.49,-1.61,12.976684,101.42615,,,,,,,
Package[4479],3:3:59:33,-2.44,2.63,9.49,-1.84,12.976684,101.42615,,,,,,,
Package[4481],3:3:59:34,-2.44,2.47,9.38,-1.65,12.976684,101.42615,,,,,,,
Package[4483],3:3:59:36,-2.44,2.82,9.85,-1.69,12.976684,101.42615,,,,,,,
Package[4485],3:3:59:37,-2.44,2.51,9.57,-1.69,12.976684,101.42615,,,,,,,
Package[4487],3:3:59:38,-2.44,2.79,9.26,-1.37,12.976684,101.42615,,,,,,,
Package[4489],3:3:59:40,-2.44,2.39,9.65,-1.61,12.97679,101.42564,,,,,,,
Package[4491],3:3:59:41,-2.44,2.67,9.3,-1.88,12.976811,101.42549,,,,,,,
Package[4493],3:3:59:43,-2.38,2.59,9.41,-1.84,12.976811,101.42549,,,,,,,
Package[4495],3:3:59:44,-2.38,2.31,9.53,-1.96,12.976811,101.42549,,,,,,,
Package[4497],3:3:59:45,-2.44,2.55,9.77,-1.65,12.976811,101.42549,,,,,,,
Package[4499],3:3:59:47,-2.5,2.59,9.69,-2.08,12.976811,101.42549,,,,,,,
Package[4501],3:3:59:48,-2.5,2.63,9.45,-1.57,12.976811,101.42549,,,,,,,
Package[4503],3:3:59:49,-2.63,2.67,9.53,-1.37,12.976811,101.42549,,,,,,,
Package[4505],3:3:59:51,-2.63,2.63,9.73,-1.53,12.976893,101.42488,,,,,,,
Package[4507],3:3:59:52,-2.69,2.71,9.85,-1.73,12.976912,101.42477,,,,,,,
Package[4509],3:3:59:54,-2.75,2.59,9.92,-1.29,12.976912,101.42477,,,,,,,
Package[4511],3:3:59:55,-2.88,2.63,9.65,-1.53,12.976912,101.42477,,,,,,,
Package[4513],3:3:59:56,-2.94,2.47,9.38,-1.8,12.976912,101.42477,,,,,,,
Package[4515],3:3:59:58,-3.06,2.35,9.49,-1.57,12.976912,101.42477,,,,,,,
Package[4517],3:3:59:59,-3.13,2.71,9.69,-1.61,12.976912,101.42477,,,,,,,
Package[4519],3:4:0:0,-3.19,2.55,9.65,-1.37,12.976912,101.42477,,,,,,,
Package[4521],3:4:0:2,-3.25,2.71,9.45,-1.49,12.976912,101.42477,,,,,,,
Package[4523],3:4:0:3,-3.38,2.51,9.41,-1.69,12.977128,101.42409,,,,,,,
Package[4525],3:4:0:4,-3.44,2.67,9.53,-1.33,12.977128,101.42409,,,,,,,
Package[4527],3:4:0:6,-3.56,2.75,9.41,-1.37,12.977188,101.42396,,,,,,,
Package[4529],3:4:0:7,-3.56,2.43,9.41,-2.04,12.97725,101.42384,,,,,,,
Package[4531],3:4:0:9,-3.63,2.63,9.1,-1.69,12.97725,101.42384,,,,,,,
Package[4533],3:4:0:10,-3.69,2.35,9.77,-2.04,12.97725,101.42384,,,,,,,
Package[4535],3:4:0:11,-3.69,2.9,9.49,-1.49,12.97725,101.42384,,,,,,,
Package[4537],3:4:0:13,-3.81,2.63,9.85,-1.49,12.97725,101.42384,,,,,,,
Package[4539],3:4:0:14,-3.88,2.79,9.41,-1.88,12.97725,101.42384,,,,,,,
Package[4541],3:4:0:15,-3.81,2.43,9.57,-1.84,12.97725,101.42384,,,,,,,
Package[4543],3:4:0:17,-3.81,2.71,9.73,-1.84,12.97725,101.42384,,,,,,,
Package[4545],3:4:0:18,-3.88,2.86,10.04,-1.73,12.97725,101.42384,,,,,,,
Package[4547],3:4:0:19,-3.81,2.35,9.1,-1.84,12.97725,101.42384,,,,,,,
Package[4549],3:4:0:21,-3.81,2.63,9.73,-1.53,12.977636,101.42302,,,,,,,
Package[4551],3:4:0:22,-3.75,2.47,9.38,-1.61,12.977688,101.4229,,,,,,,
Package[4553],3:4:0:24,-3.75,3.02,9.57,-1.53,12.977738,101.42277,,,,,,,
Package[4555],3:4:0:25,-3.69,2.51,9.53,-1.22,12.977738,101.42277,,,,,,,
Package[4557],3:4:0:26,-3.69,2.55,9.61,-1.53,12.977738,101.42277,,,,,,,
Package[4559],3:4:0:28,-3.69,2.9,9.53,-1.26,12.977738,101.42277,,,,,,,
Package[4561],3:4:0:29,-3.56,2.59,9.45,-1.69,12.977738,101.42277,,,,,,,
Package[4563],3:4:0:30,-3.63,2.51,9.49,-1.57,12.977738,101.42277,,,,,,,
Package[4565],3:4:0:32,-3.63,2.71,9.85,-1.57,12.977738,101.42277,,,,,,,
Package[4567],3:4:0:33,-3.69,2.47,9.53,-1.65,12.977738,101.42277,,,,,,,
Package[4569],3:4:0:34,-3.75,2.55,9.69,-1.41,12.977738,101.42277,,,,,,,
Package[4571],3:4:0:36,-3.88,2.79,9.41,-1.69,12.977954,101.42213,,,,,,,
Package[4573],3:4:0:37,-3.94,2.55,9.57,-1.69,12.977988,101.42202,,,,,,,
Package[4575],3:4:0:39,-4,2.55,9.73,-1.84,12.977988,101.42202,,,,,,,
Package[4577],3:4:0:40,-4.13,2.55,9.45,-1.8,12.977988,101.42202,,,,,,,
Package[4579],3:4:0:41,-4.19,2.51,9.65,-1.8,12.977988,101.42202,,,,,,,
Package[4581],3:4:0:43,-4.25,2.63,9.65,-1.57,12.977988,101.42202,,,,,,,
Package[4583],3:4:0:44,-4.38,2.59,9.38,-1.96,12.977988,101.42202,,,,,,,
Package[4585],3:4:0:45,-4.38,2.59,9.65,-1.45,12.977988,101.42202,,,,,,,
Package[4587],3:4:0:47,-4.5,2.9,9.57,-1.53,12.978143,101.42153,,,,,,,
Package[4589],3:4:0:48,-4.5,2.51,9.85,-1.33,12.978189,101.42144,,,,,,,
Package[4591],3:4:0:49,-4.69,2.94,9.49,-1.69,12.978189,101.42144,,,,,,,
Package[4593],3:4:0:51,-4.69,2.43,9.53,-1.77,12.978237,101.42134,,,,,,,
Package[4595],3:4:0:52,-4.69,2.67,9.65,-1.45,12.978237,101.42134,,,,,,,
Package[4597],3:4:0:54,-4.75,2.59,9.85,-2.08,12.978237,101.42134,,,,,,,
Package[4599],3:4:0:55,-4.81,2.59,9.38,-2.2,12.978237,101.42134,,,,,,,
Package[4601],3:4:0:56,-4.81,2.67,9.38,-1.49,12.978237,101.42134,,,,,,,
Package[4603],3:4:0:58,-4.81,2.55,9.53,-1.88,12.978237,101.42134,,,,,,,
Package[4605],3:4:0:59,-4.88,2.82,9.65,-1.53,12.978237,101.42134,,,,,,,
Package[4607],3:4:1:0,-4.81,2.55,9.61,-1.61,12.978237,101.42134,,,,,,,
Package[4609],3:4:1:2,-4.81,2.59,9.41,-1.84,12.978237,101.42134,,,,,,,
Package[4611],3:4:1:3,-4.75,2.47,10,-1.8,12.978627,101.42065,,,,,,,
Package[4613],3:4:1:4,-4.75,2.67,9.61,-1.14,12.978627,101.42065,,,,,,,
Package[4615],3:4:1:6,-4.75,2.55,9.69,-1.45,12.978673,101.42054,,,,,,,
Package[4617],3:4:1:7,-4.69,2.59,9.53,-1.77,12.978706,101.42042,,,,,,,
Package[4619],3:4:1:9,-4.69,2.67,9.73,-1.37,12.978706,101.42042,,,,,,,
Package[4621],3:4:1:10,-4.69,2.67,9.49,-1.77,12.978706,101.42042,,,,,,,
Package[4623],3:4:1:11,-4.69,2.35,9.85,-1.88,12.978706,101.42042,,,,,,,
Package[4625],3:4:1:13,-4.75,2.75,9.3,-1.69,12.978706,101.42042,,,,,,,
Package[4627],3:4:1:14,-4.69,2.51,9.53,-1.61,12.978706,101.42042,,,,,,,
Package[4629],3:4:1:15,-4.63,2.82,9.34,-1.49,12.978706,101.42042,,,,,,,
Package[4631],3:4:1:17,-4.75,2.39,9.57,-1.65,12.978706,101.42042,,,,,,,
Package[4633],3:4:1:18,-4.75,2.55,9.61,-1.92,12.97879,101.4198,,,,,,,
Package[4635],3:4:1:19,-4.81,2.28,9.45,-2.28,12.97879,101.4198,,,,,,,
Package[4637],3:4:1:21,-4.94,2.63,9.53,-1.65,12.978797,101.41968,,,,,,,
Package[4639],3:4:1:22,-4.88,2.71,9.73,-1.65,12.978797,101.41968,,,,,,,
Package[4641],3:4:1:24,-5,2.55,9.53,-1.88,12.978797,101.41968,,,,,,,
Package[4643],3:4:1:25,-5.06,2.55,10,-1.26,12.978797,101.41968,,,,,,,
Package[4645],3:4:1:26,-5.19,2.47,9.3,-2.16,12.978797,101.41968,,,,,,,
Package[4647],3:4:1:28,-5.13,2.47,9.61,-1.8,12.978797,101.41968,,,,,,,
Package[4649],3:4:1:29,-5.31,2.94,9.45,-1.69,12.978843,101.41919,,,,,,,
Package[4651],3:4:1:30,-5.38,2.59,9.34,-1.53,12.978843,101.41919,,,,,,,
Package[4653],3:4:1:32,-5.44,2.63,9.73,-1.77,12.978856,101.41908,,,,,,,
Package[4655],3:4:1:33,-5.56,2.55,9.65,-1.53,12.978856,101.41908,,,,,,,
Package[4657],3:4:1:35,-5.63,2.82,9.26,-1.96,12.97887,101.41898,,,,,,,
Package[4659],3:4:1:36,-5.69,2.63,9.41,-1.69,12.97887,101.41898,,,,,,,
